Date,Close/Last,Volume,Open,High,Low,Assets,"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Other Short Term Assets,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Liabilities,Payables & Accruals,Short Term Debt,Other Short Term Liabilities,Total Current Liabilities,Long Term Debt,Other Long Term Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity,Share Capital & Additional Paid-In Capital,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority Interest,Total Equity,Total Liabilities & Equity
2021-04-01,137.79,14069560,134.5,138.4321,133.6,,12298.0,4148.0,2552.0,794.0,19792.0,4033.0,35.0,13654.0,17687.0,37479.0,,3578.0,500.0,5145.0,9223.0,15231.0,5645.0,20876.0,30099.0,0.0,113.0,6974.0,293.0,7380.0,-11.0,7380.0,37479.0
2021-04-05,140.33,12562770,139.04,140.5,138.23,,12264.065934065935,4112.747252747253,2557.098901098901,792.4615384615385,19726.373626373625,4039.7252747252746,35.0,13699.23076923077,17738.956043956045,37465.32967032967,,3576.4175824175823,500.0,5139.857142857143,9216.274725274725,15231.175824175823,5635.945054945055,20867.120879120877,30083.395604395606,0.0,113.0,6981.428571428572,292.4725274725275,7381.934065934066,-11.0,7381.934065934066,37465.32967032967
2021-04-06,138.06,9099981,139.85,140.23,137.635,,12255.582417582418,4103.934065934066,2558.3736263736264,792.0769230769231,19709.967032967033,4041.4065934065934,35.0,13710.538461538461,17751.945054945056,37461.91208791209,,3576.021978021978,500.0,5138.571428571428,9214.593406593407,15231.21978021978,5633.681318681319,20864.9010989011,30079.494505494506,0.0,113.0,6983.285714285715,292.34065934065933,7382.417582417583,-11.0,7382.417582417583,37461.91208791209
2021-04-07,139.43,6958516,138.33,139.95,137.4,,12247.098901098901,4095.120879120879,2559.6483516483518,791.6923076923077,19693.56043956044,4043.087912087912,35.0,13721.846153846154,17764.934065934067,37458.494505494506,,3575.6263736263736,500.0,5137.285714285715,9212.912087912087,15231.263736263736,5631.417582417583,20862.68131868132,30075.593406593405,0.0,113.0,6985.142857142857,292.2087912087912,7382.9010989010985,-11.0,7382.9010989010985,37458.494505494506
2021-04-08,140.34,7304948,140.0,140.37,138.81,,12238.615384615385,4086.3076923076924,2560.923076923077,791.3076923076923,19677.153846153848,4044.769230769231,35.0,13733.153846153846,17777.923076923078,37455.07692307692,,3575.230769230769,500.0,5136.0,9211.23076923077,15231.307692307691,5629.153846153846,20860.46153846154,30071.69230769231,0.0,113.0,6987.0,292.0769230769231,7383.384615384615,-11.0,7383.384615384615,37455.07692307692
2021-04-09,140.57,6033171,139.904,140.68,138.88,,12230.131868131868,4077.4945054945056,2562.197802197802,790.9230769230769,19660.747252747253,4046.4505494505493,35.0,13744.461538461539,17790.91208791209,37451.65934065934,,3574.835164835165,500.0,5134.714285714285,9209.54945054945,15231.351648351649,5626.89010989011,20858.24175824176,30067.79120879121,0.0,113.0,6988.857142857143,291.94505494505495,7383.868131868132,-11.0,7383.868131868132,37451.65934065934
2021-04-12,137.44,10355530,138.86,139.89,136.05,,12204.681318681318,4051.054945054945,2566.021978021978,789.7692307692307,19611.527472527472,4051.4945054945056,35.0,13778.384615384615,17829.879120879123,37441.406593406595,,3573.6483516483518,500.0,5130.857142857143,9204.505494505494,15231.483516483517,5620.0989010989015,20851.582417582416,30056.08791208791,0.0,113.0,6994.428571428572,291.54945054945057,7385.318681318681,-11.0,7385.318681318681,37441.406593406595
2021-04-13,137.3,9225208,138.38,138.77,135.75,,12196.197802197803,4042.2417582417584,2567.296703296703,789.3846153846154,19595.120879120877,4053.1758241758243,35.0,13789.692307692309,17842.86813186813,37437.98901098901,,3573.252747252747,500.0,5129.571428571428,9202.824175824177,15231.527472527472,5617.8351648351645,20849.362637362636,30052.186813186814,0.0,113.0,6996.285714285715,291.4175824175824,7385.802197802198,-11.0,7385.802197802198,37437.98901098901
2021-04-14,134.75,9967790,137.08,137.84,133.91,,12187.714285714286,4033.4285714285716,2568.5714285714284,789.0,19578.714285714286,4054.8571428571427,35.0,13801.0,17855.85714285714,37434.57142857143,,3572.8571428571427,500.0,5128.285714285715,9201.142857142857,15231.57142857143,5615.571428571428,20847.14285714286,30048.285714285714,0.0,113.0,6998.142857142857,291.2857142857143,7386.285714285715,-11.0,7386.285714285715,37434.57142857143
2021-04-15,137.84,11733240,136.0,137.99,135.57,,12179.23076923077,4024.6153846153848,2569.846153846154,788.6153846153846,19562.30769230769,4056.5384615384614,35.0,13812.307692307691,17868.846153846152,37431.153846153844,,3572.4615384615386,500.0,5127.0,9199.461538461539,15231.615384615385,5613.307692307692,20844.923076923078,30044.384615384617,0.0,113.0,7000.0,291.15384615384613,7386.7692307692305,-11.0,7386.7692307692305,37431.153846153844
