Date,Close/Last,Volume,Open,High,Low,Revenue,Cost of revenue,Gross Profit,Operating Expenses,Operating Income (Loss),Non-Operating Income (Loss),Pretax Income (Loss),"Income Tax (Expense) Benefit, net",Income (Loss) Including Minority Interest,Minority Interest,Net Income Available to Common Shareholders
2021-02-05,145.84,24695400,148.85,148.9,144.62,8302.222222222223,-3046.5555555555557,5255.666666666667,-2163.777777777778,3091.8888888888887,-58.888888888888886,3033.0,-269.3888888888889,2763.6111111111113,0.0,2763.6111111111113
2021-02-08,147.38,12181640,147.1,147.6,145.3,8298.555555555555,-3070.688888888889,5227.866666666667,-2166.8444444444444,3061.0222222222224,-51.42222222222222,3009.6,-262.8222222222222,2746.777777777778,0.0,2746.777777777778
2021-02-09,146.11,11681310,147.55,148.5,145.9,8297.333333333334,-3078.7333333333336,5218.6,-2167.866666666667,3050.733333333333,-48.93333333333334,3001.8,-260.6333333333333,2741.1666666666665,0.0,2741.1666666666665
2021-02-10,145.5,11701310,147.62,147.75,144.37,8296.111111111111,-3086.777777777778,5209.333333333333,-2168.8888888888887,3040.4444444444443,-46.44444444444444,2994.0,-258.44444444444446,2735.5555555555557,0.0,2735.5555555555557
2021-02-11,145.56,11600210,145.78,146.57,143.53,8294.888888888889,-3094.822222222222,5200.066666666667,-2169.911111111111,3030.1555555555556,-43.95555555555555,2986.2,-256.25555555555553,2729.9444444444443,0.0,2729.9444444444443
2021-02-12,147.98,9155244,145.57,151.4,144.865,8293.666666666666,-3102.866666666667,5190.8,-2170.9333333333334,3019.866666666667,-41.46666666666667,2978.4,-254.06666666666666,2724.3333333333335,0.0,2724.3333333333335
2021-02-16,147.16,10211880,149.0,149.74,146.06,8288.777777777777,-3135.0444444444443,5153.733333333334,-2175.0222222222224,2978.711111111111,-31.511111111111106,2947.2,-245.3111111111111,2701.8888888888887,0.0,2701.8888888888887
2021-02-17,144.75,11950270,145.825,146.89,143.4204,8287.555555555555,-3143.088888888889,5144.466666666666,-2176.0444444444443,2968.422222222222,-29.022222222222226,2939.4,-243.1222222222222,2696.277777777778,0.0,2696.277777777778
2021-02-18,143.91,8411408,143.54,144.7,142.96,8286.333333333334,-3151.133333333333,5135.2,-2177.0666666666666,2958.133333333333,-26.53333333333333,2931.6,-240.93333333333334,2690.6666666666665,0.0,2690.6666666666665
2021-02-19,144.94,10012500,144.78,145.85,143.49,8285.111111111111,-3159.177777777778,5125.933333333333,-2178.088888888889,2947.8444444444444,-24.044444444444437,2923.8,-238.74444444444444,2685.0555555555557,0.0,2685.0555555555557
2021-02-22,139.46,12763910,142.25,144.12,139.08,8281.444444444445,-3183.311111111111,5098.133333333333,-2181.1555555555556,2916.9777777777776,-16.577777777777783,2900.4,-232.17777777777775,2668.222222222222,0.0,2668.222222222222
2021-02-23,137.12,14425300,136.38,138.48,134.44,8280.222222222223,-3191.3555555555554,5088.866666666667,-2182.177777777778,2906.688888888889,-14.088888888888874,2892.6,-229.98888888888888,2662.6111111111113,0.0,2662.6111111111113
2021-02-24,141.1,13146250,136.4,141.18,135.0924,8279.0,-3199.4,5079.6,-2183.2,2896.4,-11.599999999999994,2884.8,-227.79999999999998,2657.0,0.0,2657.0
2021-02-25,135.53,12701090,139.56,140.83,135.02,8277.777777777777,-3207.4444444444443,5070.333333333333,-2184.222222222222,2886.1111111111113,-9.111111111111114,2877.0,-225.6111111111111,2651.3888888888887,0.0,2651.3888888888887
2021-02-26,136.19,11772560,136.76,138.15,134.7,8276.555555555555,-3215.488888888889,5061.066666666667,-2185.2444444444445,2875.822222222222,-6.622222222222206,2869.2,-223.42222222222222,2645.777777777778,0.0,2645.777777777778
2021-03-01,139.49,9428359,137.5,139.63,136.46,8272.888888888889,-3239.6222222222223,5033.266666666666,-2188.311111111111,2844.9555555555553,0.8444444444444343,2845.8,-216.85555555555555,2628.9444444444443,0.0,2628.9444444444443
2021-03-02,137.04,8693234,140.0,140.1,136.77,8271.666666666666,-3247.6666666666665,5024.0,-2189.3333333333335,2834.6666666666665,3.333333333333343,2838.0,-214.66666666666666,2623.3333333333335,0.0,2623.3333333333335
2021-03-03,131.66,14862730,135.6,136.1801,131.54,8270.444444444445,-3255.711111111111,5014.733333333334,-2190.3555555555554,2824.3777777777777,5.822222222222223,2830.2,-212.47777777777776,2617.722222222222,0.0,2617.722222222222
2021-03-04,127.8,15831070,132.35,134.2,126.58,8269.222222222223,-3263.7555555555555,5005.466666666666,-2191.3777777777777,2814.088888888889,8.311111111111103,2822.4,-210.28888888888886,2612.1111111111113,0.0,2612.1111111111113
2021-03-05,129.75,13292040,130.92,131.166,125.4,8268.0,-3271.8,4996.2,-2192.4,2803.8,10.800000000000011,2814.6,-208.1,2606.5,0.0,2606.5
2021-03-08,123.2,15256060,129.0,129.7713,122.99,8264.333333333334,-3295.9333333333334,4968.4,-2195.4666666666667,2772.9333333333334,18.26666666666668,2791.2,-201.53333333333333,2589.6666666666665,0.0,2589.6666666666665
2021-03-09,129.11,13130250,127.385,129.92,126.33,8263.111111111111,-3303.9777777777776,4959.133333333333,-2196.488888888889,2762.644444444444,20.75555555555556,2783.4,-199.34444444444443,2584.0555555555557,0.0,2584.0555555555557
2021-03-10,127.87,12492300,130.67,131.1,127.64,8261.888888888889,-3312.0222222222224,4949.866666666667,-2197.511111111111,2752.3555555555554,23.24444444444444,2775.6,-197.15555555555554,2578.4444444444443,0.0,2578.4444444444443
2021-03-11,131.74,11920180,131.01,133.24,130.01,8260.666666666666,-3320.0666666666666,4940.6,-2198.5333333333333,2742.0666666666666,25.73333333333335,2767.8,-194.96666666666664,2572.8333333333335,0.0,2572.8333333333335
2021-03-12,129.98,9365665,129.9,130.33,127.62,8259.444444444445,-3328.1111111111113,4931.333333333333,-2199.5555555555557,2731.777777777778,28.22222222222223,2760.0,-192.77777777777777,2567.222222222222,0.0,2567.222222222222
2021-03-15,131.64,7810042,130.06,131.76,129.12,8255.777777777777,-3352.2444444444445,4903.533333333333,-2202.6222222222223,2700.911111111111,35.6888888888889,2736.6,-186.2111111111111,2550.3888888888887,0.0,2550.3888888888887
2021-03-16,133.65,10434700,132.89,135.44,132.293,8254.555555555555,-3360.288888888889,4894.266666666666,-2203.6444444444446,2690.6222222222223,38.17777777777778,2728.8,-184.0222222222222,2544.777777777778,0.0,2544.777777777778
2021-03-17,133.92,10781520,131.31,135.6,129.68,8253.333333333334,-3368.3333333333335,4885.0,-2204.6666666666665,2680.333333333333,40.66666666666666,2721.0,-181.83333333333331,2539.1666666666665,0.0,2539.1666666666665
2021-03-18,129.75,9587535,132.44,133.6,129.66,8252.111111111111,-3376.3777777777777,4875.733333333334,-2205.688888888889,2670.0444444444443,43.155555555555566,2713.2,-179.64444444444442,2533.5555555555557,0.0,2533.5555555555557
2021-03-19,131.02,17599880,129.79,132.48,129.17,8250.888888888889,-3384.4222222222224,4866.466666666666,-2206.711111111111,2659.7555555555555,45.644444444444446,2705.4,-177.45555555555555,2527.9444444444443,0.0,2527.9444444444443
2021-03-22,134.09,9036884,132.96,135.55,132.595,8247.222222222223,-3408.5555555555557,4838.666666666667,-2209.777777777778,2628.8888888888887,53.111111111111114,2682.0,-170.88888888888886,2511.1111111111113,0.0,2511.1111111111113
2021-03-23,132.52,7425650,134.0,134.355,131.4119,8246.0,-3416.6,4829.4,-2210.8,2618.6,55.599999999999994,2674.2,-168.7,2505.5,0.0,2505.5
2021-03-24,127.18,10962260,132.99,133.06,127.11,8244.777777777777,-3424.644444444444,4820.133333333333,-2211.822222222222,2608.311111111111,58.0888888888889,2666.4,-166.5111111111111,2499.8888888888887,0.0,2499.8888888888887
2021-03-25,127.28,10460760,126.66,127.6384,124.39,8243.555555555555,-3432.688888888889,4810.866666666667,-2212.8444444444444,2598.022222222222,60.57777777777778,2658.6,-164.3222222222222,2494.277777777778,0.0,2494.277777777778
2021-03-26,132.99,11071560,127.06,133.35,127.04,8242.333333333334,-3440.7333333333336,4801.6,-2213.866666666667,2587.733333333333,63.06666666666666,2650.8,-162.13333333333333,2488.6666666666665,0.0,2488.6666666666665
2021-03-29,131.27,9750057,132.54,133.34,129.77,8238.666666666666,-3464.866666666667,4773.8,-2216.9333333333334,2556.866666666667,70.53333333333333,2627.4,-155.56666666666663,2471.8333333333335,0.0,2471.8333333333335
2021-03-30,130.11,7097298,130.17,131.24,129.065,8237.444444444445,-3472.911111111111,4764.533333333333,-2217.9555555555557,2546.5777777777776,73.02222222222224,2619.6,-153.37777777777777,2466.222222222222,0.0,2466.222222222222
2021-03-31,132.59,8361293,130.96,133.52,130.57,8236.222222222223,-3480.9555555555553,4755.266666666666,-2218.9777777777776,2536.288888888889,75.51111111111112,2611.8,-151.18888888888887,2460.6111111111113,0.0,2460.6111111111113
2021-04-01,137.79,14069560,134.5,138.4321,133.6,8235.0,-3489.0,4746.0,-2220.0,2526.0,78.0,2604.0,-149.0,2455.0,0.0,2455.0
2021-04-05,140.33,12562770,139.04,140.5,138.23,8221.813186813188,-3486.4945054945056,4735.318681318681,-2225.1428571428573,2510.1758241758243,72.94505494505495,2583.120879120879,-158.58241758241758,2424.5384615384614,0.0,2424.5384615384614
2021-04-06,138.06,9099981,139.85,140.23,137.635,8218.516483516483,-3485.868131868132,4732.648351648351,-2226.4285714285716,2506.21978021978,71.68131868131869,2577.901098901099,-160.97802197802199,2416.923076923077,0.0,2416.923076923077
2021-04-07,139.43,6958516,138.33,139.95,137.4,8215.21978021978,-3485.2417582417584,4729.978021978022,-2227.714285714286,2502.263736263736,70.41758241758242,2572.6813186813188,-163.37362637362637,2409.3076923076924,0.0,2409.3076923076924
2021-04-08,140.34,7304948,140.0,140.37,138.81,8211.923076923076,-3484.6153846153848,4727.307692307692,-2229.0,2498.3076923076924,69.15384615384616,2567.4615384615386,-165.76923076923077,2401.6923076923076,0.0,2401.6923076923076
2021-04-09,140.57,6033171,139.904,140.68,138.88,8208.626373626374,-3483.989010989011,4724.6373626373625,-2230.285714285714,2494.3516483516482,67.8901098901099,2562.2417582417584,-168.16483516483515,2394.076923076923,0.0,2394.076923076923
2021-04-12,137.44,10355530,138.86,139.89,136.05,8198.736263736264,-3482.1098901098903,4716.626373626374,-2234.1428571428573,2482.4835164835163,64.0989010989011,2546.5824175824177,-175.35164835164835,2371.230769230769,0.0,2371.230769230769
2021-04-13,137.3,9225208,138.38,138.77,135.75,8195.439560439561,-3481.4835164835163,4713.956043956044,-2235.4285714285716,2478.5274725274726,62.83516483516483,2541.3626373626375,-177.74725274725273,2363.6153846153848,0.0,2363.6153846153848
2021-04-14,134.75,9967790,137.08,137.84,133.91,8192.142857142857,-3480.8571428571427,4711.285714285715,-2236.714285714286,2474.5714285714284,61.57142857142857,2536.1428571428573,-180.14285714285714,2356.0,0.0,2356.0
2021-04-15,137.84,11733240,136.0,137.99,135.57,8188.846153846154,-3480.230769230769,4708.615384615385,-2238.0,2470.6153846153848,60.30769230769231,2530.923076923077,-182.53846153846155,2348.3846153846152,0.0,2348.3846153846152
2021-04-16,138.21,6583895,137.62,139.005,136.65,8185.549450549451,-3479.6043956043954,4705.945054945055,-2239.285714285714,2466.6593406593406,59.043956043956044,2525.7032967032965,-184.93406593406593,2340.769230769231,0.0,2340.769230769231
2021-04-19,135.25,8728948,136.9,137.05,134.085,8175.659340659341,-3477.7252747252746,4697.934065934066,-2243.1428571428573,2454.7912087912086,55.252747252747255,2510.043956043956,-192.12087912087912,2317.923076923077,0.0,2317.923076923077
2021-04-20,133.4,7473703,134.55,134.78,132.79,8172.3626373626375,-3477.098901098901,4695.263736263736,-2244.4285714285716,2450.835164835165,53.98901098901099,2504.8241758241757,-194.5164835164835,2310.3076923076924,0.0,2310.3076923076924
2021-04-21,136.19,7237924,132.82,136.365,132.5,8169.065934065934,-3476.4725274725274,4692.593406593407,-2245.714285714286,2446.879120879121,52.72527472527473,2499.6043956043954,-196.9120879120879,2302.6923076923076,0.0,2302.6923076923076
2021-04-22,132.97,8345144,135.37,135.96,132.47,8165.7692307692305,-3475.846153846154,4689.923076923077,-2247.0,2442.923076923077,51.46153846153847,2494.3846153846152,-199.30769230769232,2295.076923076923,0.0,2295.076923076923
2021-04-23,135.43,7669057,133.74,136.1064,133.535,8162.472527472528,-3475.21978021978,4687.252747252747,-2248.285714285714,2438.967032967033,50.1978021978022,2489.164835164835,-201.7032967032967,2287.4615384615386,0.0,2287.4615384615386
2021-04-26,138.96,9715383,135.33,139.69,135.12,8152.582417582417,-3473.3406593406594,4679.241758241758,-2252.1428571428573,2427.098901098901,46.40659340659341,2473.5054945054944,-208.8901098901099,2264.6153846153848,0.0,2264.6153846153848
2021-04-27,138.01,9284499,138.71,139.38,136.98,8149.285714285715,-3472.714285714286,4676.571428571428,-2253.4285714285716,2423.1428571428573,45.142857142857146,2468.285714285714,-211.28571428571428,2257.0,0.0,2257.0
2021-04-28,136.57,13118140,138.17,138.2731,135.75,8145.989010989011,-3472.087912087912,4673.9010989010985,-2254.714285714286,2419.186813186813,43.87912087912088,2463.065934065934,-213.6813186813187,2249.3846153846152,0.0,2249.3846153846152
2021-04-29,142.68,20502140,145.01,145.2965,140.67,8142.692307692308,-3471.4615384615386,4671.2307692307695,-2256.0,2415.230769230769,42.61538461538461,2457.846153846154,-216.0769230769231,2241.769230769231,0.0,2241.769230769231
2021-04-30,138.8,11374600,141.07,142.09,138.26,8139.395604395604,-3470.835164835165,4668.56043956044,-2257.285714285714,2411.2747252747254,41.35164835164835,2452.6263736263736,-218.47252747252747,2234.153846153846,0.0,2234.153846153846
2021-05-03,137.43,7920307,139.7,139.76,136.87,8129.505494505494,-3468.956043956044,4660.549450549451,-2261.1428571428573,2399.4065934065934,37.56043956043956,2436.967032967033,-225.65934065934067,2211.3076923076924,0.0,2211.3076923076924
2021-05-04,134.12,11996280,136.0,136.0,132.42,8126.208791208791,-3468.3296703296705,4657.879120879121,-2262.4285714285716,2395.4505494505493,36.2967032967033,2431.747252747253,-228.05494505494505,2203.6923076923076,0.0,2203.6923076923076
2021-05-05,134.65,6285459,136.08,136.45,134.11,8122.912087912088,-3467.703296703297,4655.208791208791,-2263.714285714286,2391.4945054945056,35.032967032967036,2426.5274725274726,-230.45054945054943,2196.076923076923,0.0,2196.076923076923
2021-05-06,136.0,8352536,134.49,136.54,133.095,8119.615384615385,-3467.076923076923,4652.538461538462,-2265.0,2387.5384615384614,33.769230769230774,2421.3076923076924,-232.84615384615384,2188.4615384615386,0.0,2188.4615384615386
2021-05-07,137.85,6893704,136.937,138.69,136.29,8116.318681318681,-3466.4505494505493,4649.868131868132,-2266.285714285714,2383.5824175824177,32.50549450549451,2416.087912087912,-235.24175824175825,2180.846153846154,0.0,2180.846153846154
2021-05-10,128.94,19537230,136.02,136.68,128.82,8106.428571428572,-3464.5714285714284,4641.857142857143,-2270.1428571428573,2371.714285714286,28.714285714285715,2400.4285714285716,-242.42857142857144,2158.0,0.0,2158.0
2021-05-11,128.37,11947960,125.25,128.56,124.77,8103.131868131868,-3463.945054945055,4639.186813186813,-2271.4285714285716,2367.7582417582416,27.450549450549453,2395.2087912087914,-244.82417582417582,2150.3846153846152,0.0,2150.3846153846152
2021-05-12,124.62,13529630,126.029,127.13,123.68,8099.8351648351645,-3463.3186813186812,4636.516483516483,-2272.714285714286,2363.802197802198,26.18681318681319,2389.989010989011,-247.2197802197802,2142.769230769231,0.0,2142.769230769231
2021-05-13,127.11,10635090,127.12,128.48,125.87,8096.538461538462,-3462.6923076923076,4633.846153846154,-2274.0,2359.846153846154,24.923076923076927,2384.769230769231,-249.6153846153846,2135.153846153846,0.0,2135.153846153846
2021-05-14,130.15,9391122,128.63,131.42,127.81,8093.241758241758,-3462.065934065934,4631.175824175824,-2275.285714285714,2355.8901098901097,23.659340659340664,2379.5494505494507,-252.01098901098902,2127.5384615384614,0.0,2127.5384615384614
2021-05-17,129.8,5913245,129.29,129.83,127.71,8083.351648351649,-3460.186813186813,4623.1648351648355,-2279.1428571428573,2344.021978021978,19.86813186813187,2363.8901098901097,-259.19780219780216,2104.6923076923076,0.0,2104.6923076923076
2021-05-18,128.91,8651133,130.64,131.24,128.79,8080.054945054945,-3459.5604395604396,4620.494505494506,-2280.4285714285716,2340.065934065934,18.604395604395606,2358.6703296703295,-261.5934065934066,2097.076923076923,0.0,2097.076923076923
2021-05-19,130.66,8112930,127.185,130.83,126.45,8076.758241758242,-3458.934065934066,4617.824175824176,-2281.714285714286,2336.1098901098903,17.340659340659343,2353.4505494505493,-263.989010989011,2089.4615384615386,0.0,2089.4615384615386
2021-05-20,132.64,9208354,131.529,133.28,131.46,8073.461538461538,-3458.3076923076924,4615.153846153846,-2283.0,2332.153846153846,16.07692307692308,2348.230769230769,-266.38461538461536,2081.846153846154,0.0,2081.846153846154
2021-05-21,131.46,8673957,132.14,132.6897,130.49,8070.1648351648355,-3457.6813186813188,4612.483516483517,-2284.285714285714,2328.197802197802,14.813186813186817,2343.010989010989,-268.7802197802198,2074.230769230769,0.0,2074.230769230769
2021-05-24,132.91,8229331,131.33,134.0,131.33,8060.274725274725,-3455.802197802198,4604.472527472528,-2288.1428571428573,2316.32967032967,11.021978021978029,2327.3516483516482,-275.967032967033,2051.3846153846152,0.0,2051.3846153846152
2021-05-25,133.75,7271428,133.54,134.3,132.8,8056.978021978022,-3455.1758241758243,4601.802197802198,-2289.4285714285716,2312.3736263736264,9.758241758241766,2322.131868131868,-278.3626373626374,2043.7692307692307,0.0,2043.7692307692307
2021-05-26,133.09,6663325,133.87,134.52,132.22,8053.681318681319,-3454.5494505494507,4599.131868131868,-2290.714285714286,2308.4175824175823,8.494505494505503,2316.912087912088,-280.75824175824175,2036.1538461538462,0.0,2036.1538461538462
2021-05-27,133.64,7379260,132.73,134.64,132.71,8050.384615384615,-3453.923076923077,4596.461538461538,-2292.0,2304.4615384615386,7.230769230769226,2311.6923076923076,-283.1538461538462,2028.5384615384614,0.0,2028.5384615384614
2021-05-28,134.54,7044084,134.154,135.64,133.95,8047.087912087912,-3453.2967032967035,4593.791208791209,-2293.285714285714,2300.5054945054944,5.967032967032964,2306.4725274725274,-285.5494505494505,2020.923076923077,0.0,2020.923076923077
2021-06-01,133.94,7059614,135.104,136.07,133.53,8033.9010989010985,-3450.7912087912086,4583.10989010989,-2298.4285714285716,2284.6813186813188,0.9120879120879124,2285.5934065934066,-295.13186813186815,1990.4615384615386,0.0,1990.4615384615386
2021-06-02,133.82,6025988,133.18,134.73,132.47,8030.604395604396,-3450.164835164835,4580.43956043956,-2299.714285714286,2280.7252747252746,-0.3516483516483504,2280.3736263736264,-297.5274725274725,1982.8461538461538,0.0,1982.8461538461538
