Date,Close/Last,Volume,Open,High,Low
01/31/2022,$108.17,4857628,$108.2,$108.43,$106.89
01/28/2022,$108.65,4649368,$105.71,$108.73,$104.8
01/27/2022,$106.03,4674077,$103.92,$107.76,$103.77
01/26/2022,$104.22,9372141,$105.22,$106.51,$103.77
01/25/2022,$105.67,6237692,$105.62,$106.62,$104.4
01/24/2022,$106.65,8815053,$102.395,$106.97,$102.27
01/21/2022,$101.62,6504169,$103.9,$105.26,$101.51
01/20/2022,$104.06,4795682,$105.38,$107.87,$103.91
01/19/2022,$105.38,3898346,$106.77,$107.275,$105.17
01/18/2022,$106.91,4960978,$107.01,$108.23,$106.28
01/14/2022,$108.52,3801453,$109.8331,$109.8331,$107.06
01/13/2022,$110.12,4164809,$111.17,$112,$109.56
01/12/2022,$110.85,4962464,$111.5,$112.64,$109.97
01/11/2022,$110.97,8358904,$107.48,$111.02,$104.62
01/10/2022,$105.74,9615873,$109.5,$109.615,$104.1
01/07/2022,$109.74,11766780,$112.07,$113.54,$108.55
01/06/2022,$115.57,4659422,$116.03,$116.89,$114.54
01/05/2022,$115.36,8059426,$114.82,$118.23,$114.38
01/04/2022,$114.06,7336074,$114.68,$114.88,$111.96
01/03/2022,$114.43,6674603,$115.76,$116.09,$114.15
12/31/2021,$115.98,3186404,$116.52,$116.93,$115.38
12/30/2021,$116.51,4348419,$117.72,$118.78,$116.355
12/29/2021,$117.64,3389756,$119.18,$119.29,$116.88
12/28/2021,$118.16,3706615,$119,$120.31,$117.8
12/27/2021,$118.58,3397704,$119.96,$120.06,$118.315
12/23/2021,$119.91,3020822,$120.71,$121.75,$119.88
12/22/2021,$120.56,3400225,$120.51,$122.56,$120
12/21/2021,$121.1,3696821,$119.69,$121.63,$119.01
12/20/2021,$118.99,3542646,$117.81,$119.5299,$116.85
12/17/2021,$119.81,10513080,$119.93,$121.72,$118.58
12/16/2021,$120.58,6062027,$119,$121.415,$118.81
12/15/2021,$118.42,4035294,$117.02,$118.82,$116.2
12/14/2021,$117.31,5615119,$114.63,$118.3,$114.29
12/13/2021,$115.01,4154600,$114.32,$115.49,$113.74
12/10/2021,$114.77,3817715,$114.069,$115.9,$113.71
12/09/2021,$113.99,4041215,$114.46,$114.7,$112.77
12/08/2021,$114.75,5767733,$117.19,$117.41,$113.48
12/07/2021,$117.15,6868056,$115.865,$117.72,$114.65
12/06/2021,$115.63,5042843,$113.72,$116.24,$112.76
12/03/2021,$112.77,6010944,$110.52,$112.99,$109.03
12/02/2021,$110.36,5829390,$107.15,$111.12,$106.86
12/01/2021,$106.72,4758305,$110.48,$111.32,$106.7
11/30/2021,$108.81,10010640,$113.04,$113.15,$108.09
11/29/2021,$113.4,6835963,$113.56,$113.93,$110.33
11/26/2021,$113.53,4391772,$114.736,$115.37,$113.13
11/24/2021,$114.48,3552657,$115.01,$115.38,$113.5801
11/23/2021,$115.46,4482974,$113.49,$116.05,$112.87
11/22/2021,$113.85,5316404,$116.07,$116.09,$113.68
11/19/2021,$115.62,5741633,$117.01,$117.02,$114.36
11/18/2021,$116.98,4801413,$116.72,$117.43,$115.285
11/17/2021,$117.19,3494632,$117.77,$118.11,$116.3
11/16/2021,$118.36,4056855,$118.51,$119.3,$118.01
11/15/2021,$117.77,5337023,$117.99,$118.3,$115.7567
11/12/2021,$118.24,2854079,$118.89,$119.27,$118.02
11/11/2021,$118.47,3443937,$119.34,$120.05,$118.12
11/10/2021,$119.55,3715023,$119.65,$122.28,$119.12
11/09/2021,$119.86,3889503,$120.92,$121.69,$119.19
11/08/2021,$120.86,4437866,$122.84,$122.84,$119.85
11/05/2021,$122.67,5204750,$123,$124.41,$121.79
11/04/2021,$122.65,6250240,$122.13,$124.08,$121.22
11/03/2021,$121.94,9641777,$122.12,$124.71,$121.05
11/02/2021,$115.8,5446497,$116.86,$117.3,$114.76
11/01/2021,$115.86,4044467,$114.99,$116.39,$114.89
10/29/2021,$115.03,4175783,$115.82,$116.33,$114.69
10/28/2021,$116.04,3371075,$116.89,$117.87,$115.395
10/27/2021,$116.62,3998194,$116.32,$117.53,$116.06
10/26/2021,$116.36,4600176,$116.59,$117.98,$116.29
10/25/2021,$115.93,5940097,$116.766,$116.97,$115.83
10/22/2021,$116.87,5213650,$117.4,$117.51,$116.17
10/21/2021,$116.85,6744831,$121.6,$121.93,$116.43
10/20/2021,$121.94,5876206,$119.08,$122.66,$118.99
10/19/2021,$118.56,3426514,$117.61,$118.65,$116.82
10/18/2021,$117.38,4377741,$117.055,$118.2,$116.13
10/15/2021,$117.56,4453810,$119.61,$120.34,$117.22
10/14/2021,$119.26,9698818,$118.09,$119.69,$117.6101
10/13/2021,$116.46,6845992,$117.16,$118.03,$116
10/12/2021,$116.28,7095714,$117.59,$118.58,$116.15
10/11/2021,$117.19,9884182,$120.98,$121.6,$116.96
10/08/2021,$121.22,5975966,$123.64,$123.64,$120.6
10/07/2021,$123.18,5431967,$125.67,$126.125,$122.81
10/06/2021,$124.6,4160458,$124.25,$124.72,$123.3
10/05/2021,$125.4,3051218,$125.09,$126.19,$124.285
10/04/2021,$125.46,4752994,$126.81,$127.75,$124.74
10/01/2021,$126.76,4126748,$127.08,$128.31,$126.285
09/30/2021,$127.76,4541985,$128.83,$129.27,$127.105
09/29/2021,$128.1,4398495,$126.55,$128.75,$126
09/28/2021,$126.31,4517998,$126.72,$127.71,$125.86
09/27/2021,$127.78,3888480,$128.73,$128.825,$127.25
09/24/2021,$129.43,3712062,$130.17,$130.74,$129.05
09/23/2021,$130.94,8177267,$128.26,$131.89,$128.01
09/22/2021,$127.73,6952830,$125.76,$128.24,$125.45
09/21/2021,$124.9,5907989,$126.45,$127.5,$124.85
09/20/2021,$125.63,7916034,$127.005,$127.97,$124.67
09/17/2021,$128,8304345,$128.88,$129.23,$127.03
09/16/2021,$128.91,9045061,$127.4,$129.63,$125.96
09/15/2021,$127.07,8735667,$128.56,$128.84,$125.35
09/14/2021,$128.92,6053800,$130.92,$131.24,$127.965
09/13/2021,$130.02,6763232,$131.9,$132.17,$129.57
09/10/2021,$130.81,6570126,$131.771,$132.21,$129.07
09/09/2021,$131.44,8683989,$131.2,$133.75,$130.24
09/08/2021,$133.67,6635742,$134.66,$134.66,$132.33
09/07/2021,$134.47,4404717,$136.09,$136.79,$134.22
09/03/2021,$136,2448839,$136.37,$136.49,$135.42
09/02/2021,$136.13,3807972,$138.22,$138.26,$135.05
09/01/2021,$137.74,2754993,$137.63,$138.8,$137.375
08/31/2021,$137.02,4458868,$137.53,$137.9782,$136.57
08/30/2021,$137.9,3628587,$136.93,$138.58,$135.615
08/27/2021,$138.38,3351815,$137.89,$138.6548,$137.18
08/26/2021,$137.58,4204815,$140.55,$140.55,$137.42
08/25/2021,$139.86,3633557,$142.32,$142.32,$139.8
08/24/2021,$142.5,2367313,$142.3,$143.09,$141.76
08/23/2021,$142.54,3186783,$141.51,$142.97,$141.202
08/20/2021,$141.81,3274009,$141.02,$143.28,$140.37
08/19/2021,$140.89,3799060,$139.6,$141.5955,$139.415
08/18/2021,$139.83,4480037,$140.24,$141.77,$139.68
08/17/2021,$140.67,4718486,$140.55,$141.85,$140.08
08/16/2021,$140.73,7115666,$141,$142.66,$139.275
08/13/2021,$144.94,2618232,$144.3,$145.35,$144.075
08/12/2021,$144.74,2224016,$144.96,$145.39,$144.69
08/11/2021,$144.59,2417833,$143.31,$144.76,$142.94
08/10/2021,$143.2,2608482,$143.295,$143.83,$142.48
08/09/2021,$142.99,4645966,$142.8,$144,$142.69
08/06/2021,$142.23,5236813,$141.99,$142.76,$141.47
08/05/2021,$141.93,4369073,$142.82,$143.5,$141.7
08/04/2021,$142.22,4615287,$143.87,$144.4,$142.15
08/03/2021,$144.5,3953558,$145.08,$145.46,$144.03
08/02/2021,$144.91,4333512,$144.87,$145.29,$144.02
07/30/2021,$144.02,6600310,$143,$145.18,$141.2
07/29/2021,$144.63,4198578,$145.5,$146.92,$143.7
07/28/2021,$145.12,2975071,$145,$145.49,$144.3
07/27/2021,$144.82,4110430,$144.85,$145.07,$143.56
07/26/2021,$144.97,3705891,$143.63,$145.72,$143.63
07/23/2021,$144,4278384,$145.43,$145.43,$143.9
07/22/2021,$144.75,4335913,$144.66,$144.94,$142.4438
07/21/2021,$144.57,4700015,$143.99,$146.12,$143.65
07/20/2021,$144.4,7189695,$144.79,$145.69,$144.11
07/19/2021,$144.61,7154748,$147.501,$148.21,$143.29
07/16/2021,$149.41,2476759,$148.09,$150.2,$148.09
07/15/2021,$148.34,3348644,$149.337,$150.135,$148.11
07/14/2021,$148.9,2316703,$148.49,$149.8399,$148.02
07/13/2021,$147.77,2583001,$146.81,$149.59,$146.11
07/12/2021,$146.9,2007989,$146.19,$147.19,$145.33
07/09/2021,$146.01,3245325,$145.89,$147.295,$144.51
07/08/2021,$146.86,2407480,$147.517,$148.02,$146.01
07/07/2021,$148.04,1777474,$146.715,$148.14,$145.57
07/06/2021,$146.75,2357478,$146.15,$146.931,$145.15
07/02/2021,$146.29,2603485,$145.94,$146.71,$145.32
07/01/2021,$145.34,2655337,$144.54,$145.5,$144.29
06/30/2021,$144.83,3139044,$145.21,$145.32,$144.23
06/29/2021,$144.99,3197172,$144.69,$145.34,$144.14
06/28/2021,$145.04,2826159,$145.27,$145.58,$144.41
06/25/2021,$145.34,3376436,$145.79,$146.24,$144.8
06/24/2021,$145.6,2181600,$145.38,$146.07,$144.87
06/23/2021,$145.03,2416179,$145.4,$145.68,$144.505
06/22/2021,$145.82,2621930,$145.71,$146,$145.01
06/21/2021,$145.66,3801916,$145.97,$146.19,$145.08
06/18/2021,$144.7,5430892,$146.23,$146.485,$144.29
06/17/2021,$146.45,3494570,$144.99,$147.875,$144.81
06/16/2021,$144.91,4184063,$145.8,$146.28,$143.26
06/15/2021,$145.68,3169605,$145.38,$146.76,$145.01
06/14/2021,$145.26,3477876,$144.99,$145.57,$144.5601
06/11/2021,$145.35,4072850,$146.58,$146.65,$144.37
06/10/2021,$146.51,3592185,$147.6,$148.695,$146.22
06/09/2021,$147.27,4125035,$145.59,$147.95,$145.59
06/08/2021,$145.39,4960601,$143.9,$145.68,$143.9
06/07/2021,$143.51,2758231,$143.91,$144.82,$142.955
06/04/2021,$144.51,3484039,$142.99,$144.77,$142.495
06/03/2021,$142.32,4503705,$140.217,$142.86,$140.02
06/02/2021,$140.98,3589665,$141.8,$142.11,$139.94
06/01/2021,$141.7,3752704,$141.66,$142.91,$141.45
05/28/2021,$141.45,4197731,$141.81,$142.605,$141.41
05/27/2021,$141.31,8141098,$140.48,$142.16,$139.81
05/26/2021,$139.65,6267104,$136.78,$140.865,$136.63
05/25/2021,$136.76,6094287,$137.97,$138.88,$136.73
05/24/2021,$137.73,4432041,$136.6,$138.41,$136.1945
05/21/2021,$136.05,3718978,$137.34,$137.43,$135.79
05/20/2021,$136.16,4445979,$134.59,$136.68,$134.3
05/19/2021,$134.35,6709196,$133.67,$134.67,$132.49
05/18/2021,$135,8235639,$139.98,$139.98,$134.86
05/17/2021,$140.2,5451723,$140.15,$140.47,$139.17
05/14/2021,$141.52,5331130,$139.06,$143.09,$138.73
05/13/2021,$138.12,3737977,$137.07,$139.1,$136.45
05/12/2021,$136.64,3903568,$135.98,$137.38,$135.85
05/11/2021,$138,3151621,$135.11,$138.25,$134.6686
05/10/2021,$135.81,5251565,$138.33,$139.72,$135.69
05/07/2021,$139.12,5831552,$138.58,$140.19,$138.35
05/06/2021,$138.88,8150179,$133.68,$138.98,$132.21
05/05/2021,$134.13,8802928,$131.46,$135.33,$131.42
05/04/2021,$128.48,4891763,$130.83,$131.13,$127.09
05/03/2021,$131.45,4192277,$132.58,$132.78,$130.91
04/30/2021,$132.13,4138415,$133.05,$133.18,$131.51
04/29/2021,$134.01,3402002,$132.15,$134.07,$132.15
04/28/2021,$132.08,2011401,$132.35,$132.635,$131.53
04/27/2021,$132.92,3008587,$133.11,$133.24,$131.48
04/26/2021,$132.5,2721749,$133.41,$133.41,$131.905
04/23/2021,$133.32,3025541,$131.75,$133.905,$131.4
04/22/2021,$131.73,3324462,$132,$132.88,$130.59
04/21/2021,$132.12,3368371,$130.96,$132.5,$129.81
04/20/2021,$130.55,3332393,$131.7,$131.7,$128.48
04/19/2021,$131.99,2575824,$133.59,$133.64,$131.92
04/16/2021,$133.05,3540286,$131.99,$133.55,$131.315
04/15/2021,$131.47,3241245,$131.1,$131.8,$130.12
04/14/2021,$129.9,2921544,$130.68,$130.79,$129.61
04/13/2021,$130.79,4516398,$130.3,$131.2,$129.67
04/12/2021,$130.76,2435777,$128.49,$131,$128.23
