Date,Close/Last,Volume,Open,High,Low,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash From Acquisitions & Divestitures,Other Investing Activities,Cash from Investing Activities,Dividends Paid,Cash From (Repayment of) Debt,Cash From (Repurchase of) Equity,Other Financing Activities,Cash from Financing Activities,Net Cash Before Disc. Operations and FX,Change in Cash from Disc. Operations and Other,Net Cash Before FX,Effect of Foreign Exchange Rates,Net Changes in Cash
2018-05-22,57.39,9431533,57.91,58.36,57.07,-2409.6373626373625,377.010989010989,2749.967032967033,346.35164835164846,1063.6923076923076,-203.02197802197801,1418.725274725275,,8.494505494505503,1224.197802197802,-844.5604395604396,574.1318681318681,-39.43956043956044,-160.01098901098902,-469.8791208791209,1818.0109890109889,-3.4931506849315066,1818.0109890109889,18.2967032967033,1836.3076923076924
2018-05-23,58.82,11295930,56.91,58.86,56.83,-2339.5714285714284,377.2857142857143,2688.142857142857,324.1428571428571,1050.0,-202.57142857142856,1503.8571428571431,,10.857142857142861,1312.1428571428569,-844.5714285714286,566.4285714285714,-38.42857142857143,-159.28571428571428,-475.8571428571429,1886.2857142857142,-3.5616438356164384,1886.2857142857142,18.714285714285715,1905.0
2018-05-24,59.08,12381340,58.58,59.25,58.05,-2269.505494505494,377.5604395604396,2626.3186813186812,301.934065934066,1036.3076923076924,-202.12087912087912,1588.9890109890111,,13.219780219780219,1400.0879120879126,-844.5824175824176,558.7252747252747,-37.41758241758242,-158.56043956043956,-481.83516483516485,1954.5604395604391,-3.6301369863013697,1954.5604395604391,19.13186813186813,1973.6923076923076
2018-05-25,59.96,11479430,58.85,60.0,58.81,-2199.43956043956,377.83516483516485,2564.4945054945056,279.72527472527486,1022.6153846153846,-201.67032967032966,1674.1208791208792,,15.582417582417591,1488.0329670329675,-844.5934065934066,551.0219780219779,-36.40659340659341,-157.83516483516485,-487.8131868131868,2022.8351648351645,-3.698630136986301,2022.8351648351645,19.54945054945055,2042.3846153846152
2018-05-29,58.23,14670800,59.5,59.5999,57.7,-1919.175824175824,378.9340659340659,2317.197802197802,190.8901098901099,967.8461538461539,-199.86813186813185,2014.6483516483513,,25.032967032967036,1839.8131868131868,-844.6373626373627,520.2087912087911,-32.362637362637365,-154.93406593406593,-511.72527472527474,2295.9340659340655,-3.9726027397260273,2295.9340659340655,21.21978021978022,2317.153846153846
2018-05-30,58.39,9080236,58.41,58.65,57.66,-1849.1098901098894,379.20879120879124,2255.3736263736264,168.68131868131877,954.1538461538462,-199.41758241758242,2099.7802197802193,,27.39560439560441,1927.7582417582416,-844.6483516483516,512.5054945054944,-31.35164835164835,-154.2087912087912,-517.7032967032967,2364.208791208791,-4.041095890410959,2364.208791208791,21.63736263736264,2385.846153846154
2018-05-31,58.12,12812670,58.0,58.57,57.7601,-1779.0439560439554,379.4835164835165,2193.5494505494507,146.47252747252742,940.4615384615385,-198.96703296703296,2184.9120879120883,,29.758241758241752,2015.7032967032974,-844.6593406593406,504.8021978021978,-30.340659340659343,-153.4835164835165,-523.6813186813187,2432.483516483516,-4.10958904109589,2432.483516483516,22.054945054945055,2454.538461538462
2018-06-01,58.61,8866750,58.34,58.73,58.01,-1708.9780219780214,379.75824175824175,2131.7252747252746,124.26373626373629,926.7692307692308,-198.5164835164835,2270.0439560439563,,32.120879120879124,2103.648351648352,-844.6703296703297,497.0989010989011,-29.329670329670336,-152.75824175824175,-529.6593406593406,2500.7582417582416,-4.178082191780821,2500.7582417582416,22.472527472527474,2523.2307692307695
2018-06-04,58.71,9629054,58.62,58.87,57.95,-1498.7802197802193,380.5824175824176,1946.2527472527472,57.637362637362685,885.6923076923077,-197.16483516483515,2525.4395604395604,,39.20879120879121,2367.4835164835167,-844.7032967032967,473.989010989011,-26.2967032967033,-150.58241758241758,-547.5934065934066,2705.5824175824173,-4.383561643835616,2705.5824175824173,23.725274725274726,2729.3076923076924
2018-06-05,58.98,6542890,58.86,59.6002,58.76,-1428.7142857142853,380.85714285714283,1884.4285714285716,35.42857142857156,872.0,-196.71428571428572,2610.5714285714284,,41.571428571428584,2455.4285714285716,-844.7142857142857,466.2857142857143,-25.285714285714292,-149.85714285714286,-553.5714285714286,2773.857142857142,-4.4520547945205475,2773.857142857142,24.142857142857142,2798.0
