Date,Close/Last,Volume,Open,High,Low,CrudeOilUSDM
2018-09-12,71.75,12589970,72.09,72.5,70.02,79.4504927536232
2018-09-13,74.61,22758120,73.68,75.36,73.48,79.50417391304349
2018-09-14,75.09,12693840,74.53,76.04,74.41,79.55785507246377
2018-09-17,73.24,11556400,74.84,75.28,73.11,79.71889855072465
2018-09-18,74.72,11689650,73.8,76.5,73.51,79.77257971014494
2018-09-19,74.06,11456680,75.37,75.37,73.77,79.82626086956522
2018-09-20,74.6,11739370,74.48,75.11,74.2081,79.87994202898551
2018-09-21,73.7,21312620,74.83,74.87,73.13,79.9336231884058
2018-09-24,73.58,15442890,73.08,73.85,72.8,80.09466666666667
2018-09-25,72.74,20712780,72.64,73.57,72.58,80.14834782608696
2018-09-26,71.76,11301880,72.68,73.26,71.58,80.20202898550725
2018-09-27,71.71,12496430,72.18,72.68,71.475,80.25571014492755
2018-09-28,72.03,19770810,71.51,73.26,71.25,80.30939130434784
2018-10-01,72.6,9335121,72.46,73.43,72.1,80.4704347826087
2018-10-02,73.35,9220417,72.4,73.91,72.2719,79.97698967231928
2018-10-03,72.64,7077184,73.59,73.885,72.59,79.48354456202985
2018-10-04,72.38,8598628,72.0,72.7,71.8569,78.99009945174042
2018-10-05,71.21,11734920,72.39,72.66,70.55,78.49665434145099
2018-10-08,70.93,10083940,70.78,71.6,70.56,77.0163190105827
2018-10-09,70.13,10327510,70.76,70.96,70.09,76.52287390029328
2018-10-10,66.73,22216870,68.77,69.56,66.62,76.02942879000385
2018-10-11,64.29,25808960,66.35,66.99,63.61,75.53598367971442
2018-10-12,64.29,15656960,65.55,65.65,63.27,75.04253856942499
2018-10-15,64.17,12287910,64.23,65.2,64.01,73.5622032385567
2018-10-16,66.12,15929630,64.78,66.39,64.62,73.06875812826726
2018-10-17,66.1,14777840,66.38,66.61,65.29,72.57531301797783
2018-10-18,65.15,12214680,65.68,66.32,64.87,72.0818679076884
2018-10-19,65.36,10671850,65.45,66.21,65.0,71.58842279739898
