Date,Close/Last,Volume,Open,High,Low,Gross Profit,Net Income Available to Common Shareholders,InflationRate,Total Assets,Total Liabilities,Net Income/Starting Line,Dividends Paid,Net Changes in Cash,BrentCrudeOil
2021-08-04,148.22,5556400,148.02,149.2,147.33,4559.54347826087,1859.9347826086957,4.0,37759.67391304348,30057.391304347828,1860.304347826087,-746.195652173913,-161.32608695652175,70.46387096774194
2021-08-05,146.83,7169204,147.24,147.47,144.5673,4561.20652173913,1862.8152173913043,4.0,37777.07608695652,30066.608695652172,1863.195652173913,-746.554347826087,-134.42391304347836,70.61152492668623
2021-08-06,146.28,5733256,146.13,148.23,145.92,4562.869565217391,1865.695652173913,4.0,37794.47826086957,30075.82608695652,1866.086956521739,-746.9130434782609,-107.52173913043487,70.7591788856305
2021-08-09,146.92,4966607,146.79,147.7178,145.75,4567.858695652174,1874.3369565217392,4.0,37846.684782608696,30103.478260869564,1874.7608695652175,-747.9891304347826,-26.815217391304486,71.20214076246334
2021-08-10,145.87,4197116,147.32,147.5,142.4,4569.521739130435,1877.2173913043478,4.0,37864.086956521736,30112.695652173912,1877.6521739130435,-748.3478260869565,0.0869565217390118,71.34979472140762
2021-08-11,146.68,6215983,146.06,146.79,144.4,4571.184782608696,1880.0978260869565,4.0,37881.489130434784,30121.91304347826,1880.5434782608695,-748.7065217391304,26.98913043478251,71.49744868035191
2021-08-12,147.15,5778056,147.76,148.0,146.39,4572.847826086957,1882.9782608695652,4.0,37898.891304347824,30131.130434782608,1883.4347826086957,-749.0652173913044,53.89130434782601,71.64510263929618
2021-08-13,148.64,5764041,147.0,149.31,146.93,4574.510869565217,1885.858695652174,4.0,37916.29347826087,30140.347826086956,1886.3260869565217,-749.4239130434783,80.7934782608695,71.79275659824047
2021-08-16,148.13,4410945,148.4,149.08,146.72,4579.5,1894.5,4.0,37968.5,30168.0,1895.0,-750.5,161.5,72.23571847507331
2021-08-17,144.41,7256805,146.95,147.0,143.5701,4581.163043478261,1897.3804347826087,4.0,37985.90217391304,30177.217391304348,1897.891304347826,-750.8586956521739,188.4021739130435,72.38337243401759
2021-08-18,142.18,6546524,143.84,144.655,141.98,4582.826086956522,1900.2608695652175,4.0,38003.30434782609,30186.434782608696,1900.7826086956522,-751.2173913043479,215.304347826087,72.53102639296188
2021-08-19,140.61,8660978,140.65,141.45,138.96,4584.489130434783,1903.141304347826,4.0,38020.70652173913,30195.652173913044,1903.6739130434783,-751.5760869565217,242.20652173913027,72.67868035190615
2021-08-20,142.09,6140962,140.61,142.26,140.3,4586.152173913043,1906.0217391304348,4.0,38038.108695652176,30204.869565217392,1906.5652173913043,-751.9347826086956,269.10869565217376,72.82633431085043
2021-08-23,144.14,6936893,142.653,144.61,142.35,4591.141304347826,1914.663043478261,4.0,38090.315217391304,30232.521739130436,1915.2391304347825,-753.0108695652174,349.81521739130426,73.26929618768327
2021-08-24,144.46,7066814,144.59,145.5925,143.8433,4592.804347826087,1917.5434782608695,4.0,38107.717391304344,30241.739130434784,1918.1304347826087,-753.3695652173913,376.71739130434776,73.41695014662756
2021-08-25,143.87,5721635,144.46,145.43,143.465,4594.467391304348,1920.4239130434783,4.0,38125.11956521739,30250.956521739132,1921.0217391304348,-753.7282608695652,403.61956521739125,73.56460410557183
2021-08-26,142.38,6825131,143.19,143.76,141.62,4596.130434782609,1923.304347826087,4.0,38142.52173913043,30260.17391304348,1923.913043478261,-754.0869565217391,430.52173913043475,73.71225806451612
